predicate,subject,subject_type,object,object_type
诊断检查,鼻骨骨折,疾病,鼻咽部MRI检查,观测操作
诊断检查,鼻骨骨折,疾病,耳鼻咽喉CT检查,观测操作
推荐饮食,鼻骨骨折,疾病,麦芽糖,饮食
推荐饮食,鼻骨骨折,疾病,鸡蛋,饮食
推荐饮食,鼻骨骨折,疾病,鸡肉,饮食
推荐饮食,鼻骨骨折,疾病,葵花子仁,饮食
禁忌饮食,鼻骨骨折,疾病,白酒,饮食
禁忌饮食,鼻骨骨折,疾病,腐竹,饮食
禁忌饮食,鼻骨骨折,疾病,白扁豆,饮食
禁忌饮食,鼻骨骨折,疾病,草鱼,饮食
推荐饮食,鼻骨骨折,疾病,桃仁粥,饮食
推荐饮食,鼻骨骨折,疾病,芝麻桃仁粥,饮食
推荐饮食,鼻骨骨折,疾病,当归生姜羊肉汤,饮食
推荐饮食,鼻骨骨折,疾病,羊肉煎包,饮食
推荐饮食,鼻骨骨折,疾病,羊肉温补汤,饮食
推荐饮食,鼻骨骨折,疾病,五丝白菜卷,饮食
推荐饮食,鼻骨骨折,疾病,小白菜馅包子,饮食
推荐饮食,鼻骨骨折,疾病,鲤鱼汤,饮食
治疗药物,鼻骨骨折,疾病,骨折挫伤胶囊,药品
治疗药物,鼻骨骨折,疾病,复方三七胶囊,药品
治疗药物,鼻骨骨折,疾病,跌打损伤丸,药品
治疗药物,鼻骨骨折,疾病,接骨丸,药品
治疗药物,鼻骨骨折,疾病,骨松宝胶囊,药品
治疗药物,鼻骨骨折,疾病,双虎肿痛宁,药品
治疗药物,鼻骨骨折,疾病,独一味颗粒,药品
治疗药物,鼻骨骨折,疾病,伤科七味片,药品
治疗药物,鼻骨骨折,疾病,三七片,药品
治疗药物,鼻骨骨折,疾病,11-Aug,药品
治疗药物,鼻骨骨折,疾病,伤科跌打丸,药品
治疗药物,鼻骨骨折,疾病,接骨七厘片,药品
治疗药物,鼻骨骨折,疾病,灵仙跌打片,药品
治疗药物,鼻骨骨折,疾病,骨炎灵片,药品
治疗药物,鼻骨骨折,疾病,伤科跌打片,药品
治疗药物,鼻骨骨折,疾病,八味秦皮丸,药品
治疗药物,鼻骨骨折,疾病,舒筋活血胶囊,药品
治疗药物,鼻骨骨折,疾病,鹿瓜多肽注射液,药品
临床症状,鼻窦创伤,疾病,鼻翼上方缺损,症状
临床症状,鼻窦创伤,疾病,鼻裂,症状
临床症状,鼻窦创伤,疾病,鼻窦压痛,症状
临床症状,鼻窦创伤,疾病,脑脊液鼻漏,症状
临床症状,鼻窦创伤,疾病,捻发音,症状
临床症状,鼻窦创伤,疾病,鼻根部水肿,症状
临床症状,鼻窦创伤,疾病,粉碎性骨折,症状
临床症状,鼻窦创伤,疾病,鼻窦气压伤,症状
临床症状,鼻窦创伤,疾病,复视,症状
临床症状,鼻窦创伤,疾病,鼻出血,症状
治疗操作,鼻窦创伤,疾病,药物治疗,操作
治疗操作,鼻窦创伤,疾病,康复治疗,操作
相关人群,鼻窦创伤,疾病,无特定的人群,人群
治疗药物,鼻窦创伤,疾病,生三七散,药品
治疗药物,鼻窦创伤,疾病,三七片,药品
诊断检查,鼻窦创伤,疾病,鼻窦检查,观测操作
诊断检查,鼻窦创伤,疾病,CT检查,观测操作
诊断检查,鼻窦创伤,疾病,感染免疫检测,观测操作
诊断检查,鼻窦创伤,疾病,视力,观测操作
推荐饮食,鼻窦创伤,疾病,鸡蛋,饮食
推荐饮食,鼻窦创伤,疾病,鸽蛋,饮食
推荐饮食,鼻窦创伤,疾病,芝麻,饮食
推荐饮食,鼻窦创伤,疾病,南瓜子仁,饮食
禁忌饮食,鼻窦创伤,疾病,腐竹,饮食
禁忌饮食,鼻窦创伤,疾病,白扁豆,饮食
禁忌饮食,鼻窦创伤,疾病,蚝豉,饮食
禁忌饮食,鼻窦创伤,疾病,蛤蜊,饮食
推荐饮食,鼻窦创伤,疾病,云腿鸽子汤,饮食
推荐饮食,鼻窦创伤,疾病,酸辣乌鱼蛋汤,饮食
推荐饮食,鼻窦创伤,疾病,萝卜豆腐汤,饮食
推荐饮食,鼻窦创伤,疾病,海带炖豆腐,饮食
推荐饮食,鼻窦创伤,疾病,鱼头炖豆腐,饮食
治疗药物,鼻窦创伤,疾病,三七胶囊,药品
治疗药物,鼻窦创伤,疾病,伤科接骨片,药品
临床症状,鼻疖,疾病,颌下淋巴结肿大压痛,症状
临床症状,鼻疖,疾病,鼻内痛,症状
临床症状,鼻疖,疾病,败血症,症状
临床症状,鼻疖,疾病,低热,症状
临床症状,鼻疖,疾病,疖肿,症状
治疗操作,鼻疖,疾病,药物治疗,操作
治疗操作,鼻疖,疾病,康复治疗,操作
相关人群,鼻疖,疾病,无特定的人群,人群
治疗药物,鼻疖,疾病,牛黄解毒丸,药品
治疗药物,鼻疖,疾病,消炎片,药品
诊断检查,鼻疖,疾病,鼻粘膜及鼻腔分泌物,观测操作
诊断检查,鼻疖,疾病,淋巴显像,观测操作
诊断检查,鼻疖,疾病,外鼻检查,观测操作
诊断检查,鼻疖,疾病,鼻前庭,观测操作
推荐饮食,鼻疖,疾病,鸡蛋,饮食
推荐饮食,鼻疖,疾病,鸽蛋,饮食
推荐饮食,鼻疖,疾病,芝麻,饮食
推荐饮食,鼻疖,疾病,南瓜子仁,饮食
禁忌饮食,鼻疖,疾病,腐竹,饮食
禁忌饮食,鼻疖,疾病,白扁豆,饮食
禁忌饮食,鼻疖,疾病,蚝豉,饮食
禁忌饮食,鼻疖,疾病,蛏子,饮食
推荐饮食,鼻疖,疾病,绿豆薏苡仁汤,饮食
推荐饮食,鼻疖,疾病,冬瓜荷叶瘦肉汤,饮食
推荐饮食,鼻疖,疾病,玉米冬瓜粥,饮食
推荐饮食,鼻疖,疾病,番茄皮蛋菜汤,饮食
推荐饮食,鼻疖,疾病,甜菜叶粥,饮食
推荐饮食,鼻疖,疾病,培根白菜粥,饮食
推荐饮食,鼻疖,疾病,素炒菠菜,饮食
推荐饮食,鼻疖,疾病,菜花泥子汤,饮食
治疗药物,鼻疖,疾病,芩连片,药品
治疗药物,鼻疖,疾病,三黄片,药品
治疗药物,鼻疖,疾病,如意金黄散,药品
治疗药物,鼻疖,疾病,四季三黄片,药品
治疗药物,鼻疖,疾病,鱼石脂软膏,药品
治疗药物,鼻疖,疾病,芩连丸,药品
治疗药物,鼻疖,疾病,清肺抑火片,药品
临床症状,鼻窦气压性创伤,疾病,鼻端缺损,症状
临床症状,鼻窦气压性创伤,疾病,创伤,症状
临床症状,鼻窦气压性创伤,疾病,钝痛,症状
临床症状,鼻窦气压性创伤,疾病,气压伤,疾病
临床症状,鼻窦气压性创伤,疾病,剧痛,症状
临床症状,鼻窦气压性创伤,疾病,鼻内痛,症状
临床症状,鼻窦气压性创伤,疾病,鼻窦气压伤,症状
临床症状,鼻窦气压性创伤,疾病,鼻塞,症状
临床症状,鼻窦气压性创伤,疾病,鼻分泌物增多,症状
临床症状,鼻窦气压性创伤,疾病,继发感染,症状
治疗操作,鼻窦气压性创伤,疾病,支持性治疗,操作
治疗操作,鼻窦气压性创伤,疾病,康复治疗,操作
相关人群,鼻窦气压性创伤,疾病,无特定的人群,人群
治疗药物,鼻窦气压性创伤,疾病,注射用盐酸溴己新,药品
治疗药物,鼻窦气压性创伤,疾病,云南花粉片,药品
诊断检查,鼻窦气压性创伤,疾病,鼻窦检查,观测操作
诊断检查,鼻窦气压性创伤,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻窦气压性创伤,疾病,细菌感染免疫检测,观测操作
诊断检查,鼻窦气压性创伤,疾病,口腔X光片检查,观测操作
诊断检查,鼻窦气压性创伤,疾病,鼻粘膜及鼻腔分泌物,观测操作
推荐饮食,鼻窦气压性创伤,疾病,薇菜,饮食
推荐饮食,鼻窦气压性创伤,疾病,鸡蛋,饮食
推荐饮食,鼻窦气压性创伤,疾病,鸽蛋,饮食
推荐饮食,鼻窦气压性创伤,疾病,芝麻,饮食
禁忌饮食,鼻窦气压性创伤,疾病,荠菜根,饮食
禁忌饮食,鼻窦气压性创伤,疾病,干腌菜,饮食
禁忌饮食,鼻窦气压性创伤,疾病,啤酒,饮食
禁忌饮食,鼻窦气压性创伤,疾病,白酒,饮食
推荐饮食,鼻窦气压性创伤,疾病,云腿鸽子汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,酸辣乌鱼蛋汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,乌鱼木瓜汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,苋菜鱼头豆腐汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,冬菇椰菜豆腐粉丝汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,菠菜豆腐汤,饮食
推荐饮食,鼻窦气压性创伤,疾病,雪菜肉末粥,饮食
推荐饮食,鼻窦气压性创伤,疾病,猪肉青菜粥,饮食
临床症状,创伤性鼻中隔穿孔,疾病,鼻端缺损,症状
临床症状,创伤性鼻中隔穿孔,疾病,创伤,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻翼上方缺损,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻中隔向一侧或...,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻端形态不佳,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻粘膜干燥发痒,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻内痛,症状
临床症状,创伤性鼻中隔穿孔,疾病,嗅觉障碍,疾病
临床症状,创伤性鼻中隔穿孔,疾病,鼻孔外露,症状
临床症状,创伤性鼻中隔穿孔,疾病,鼻出血,症状
治疗操作,创伤性鼻中隔穿孔,疾病,药物治疗,操作
治疗操作,创伤性鼻中隔穿孔,疾病,康复治疗,操作
相关人群,创伤性鼻中隔穿孔,疾病,无特定的人群,人群
治疗药物,创伤性鼻中隔穿孔,疾病,生三七散,药品
治疗药物,创伤性鼻中隔穿孔,疾病,三七片,药品
诊断检查,创伤性鼻中隔穿孔,疾病,涂片,观测操作
诊断检查,创伤性鼻中隔穿孔,疾病,鼻腔内镜检查,观测操作
诊断检查,创伤性鼻中隔穿孔,疾病,鼻中隔,观测操作
诊断检查,创伤性鼻中隔穿孔,疾病,鼻粘膜及鼻腔分泌物,观测操作
推荐饮食,创伤性鼻中隔穿孔,疾病,薇菜,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,鸡蛋,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,鸽蛋,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,芝麻,饮食
禁忌饮食,创伤性鼻中隔穿孔,疾病,干腌菜,饮食
禁忌饮食,创伤性鼻中隔穿孔,疾病,腐竹,饮食
禁忌饮食,创伤性鼻中隔穿孔,疾病,白扁豆,饮食
禁忌饮食,创伤性鼻中隔穿孔,疾病,蚝豉,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,云腿鸽子汤,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,乌鱼木瓜汤,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,西芹鳕鱼,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,番茄皮蛋菜汤,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,冬菇椰菜豆腐粉丝汤,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,菠菜豆腐汤,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,雪菜肉末粥,饮食
推荐饮食,创伤性鼻中隔穿孔,疾病,猪肉青菜粥,饮食
治疗药物,创伤性鼻中隔穿孔,疾病,三七胶囊,药品
治疗药物,创伤性鼻中隔穿孔,疾病,伤科接骨片,药品
临床症状,创伤性鼻出血,疾病,鼻中隔向一侧或...,症状
临床症状,创伤性鼻出血,疾病,凝血障碍,症状
临床症状,创伤性鼻出血,疾病,反复鼻出血,症状
临床症状,创伤性鼻出血,疾病,鼻内痛,症状
临床症状,创伤性鼻出血,疾病,鼻中隔穿孔,症状
临床症状,创伤性鼻出血,疾病,鼻翼边缘缺损,症状
临床症状,创伤性鼻出血,疾病,鼻孔外露,症状
临床症状,创伤性鼻出血,疾病,鼻翼上方缺损,症状
临床症状,创伤性鼻出血,疾病,鼻出血,症状
治疗操作,创伤性鼻出血,疾病,药物治疗,操作
治疗操作,创伤性鼻出血,疾病,康复治疗,操作
相关人群,创伤性鼻出血,疾病,多发生于飞行员或高气压作业的工作人员和儿童。,人群
治疗药物,创伤性鼻出血,疾病,生三七散,药品
治疗药物,创伤性鼻出血,疾病,三七片,药品
诊断检查,创伤性鼻出血,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,创伤性鼻出血,疾病,鼻窦检查,观测操作
诊断检查,创伤性鼻出血,疾病,鼻部检查,观测操作
诊断检查,创伤性鼻出血,疾病,血管造影,观测操作
诊断检查,创伤性鼻出血,疾病,头颅平片,观测操作
诊断检查,创伤性鼻出血,疾病,鼻咽部MRI检查,观测操作
推荐饮食,创伤性鼻出血,疾病,鸡蛋,饮食
推荐饮食,创伤性鼻出血,疾病,鸽蛋,饮食
推荐饮食,创伤性鼻出血,疾病,芝麻,饮食
推荐饮食,创伤性鼻出血,疾病,南瓜子仁,饮食
禁忌饮食,创伤性鼻出血,疾病,白酒,饮食
禁忌饮食,创伤性鼻出血,疾病,腐竹,饮食
禁忌饮食,创伤性鼻出血,疾病,白扁豆,饮食
禁忌饮食,创伤性鼻出血,疾病,蚝豉,饮食
推荐饮食,创伤性鼻出血,疾病,花生酱,饮食
推荐饮食,创伤性鼻出血,疾病,茄子粥,饮食
推荐饮食,创伤性鼻出血,疾病,紫茄子粥,饮食
推荐饮食,创伤性鼻出血,疾病,荠菜粥,饮食
推荐饮食,创伤性鼻出血,疾病,鲜百合冬菇西兰花汤,饮食
推荐饮食,创伤性鼻出血,疾病,西兰花炒虾仁,饮食
推荐饮食,创伤性鼻出血,疾病,海米白菜汤,饮食
治疗药物,创伤性鼻出血,疾病,三七胶囊,药品
治疗药物,创伤性鼻出血,疾病,伤科接骨片,药品
临床症状,鼻中隔穿孔,疾病,鼻中隔穿孔,症状
临床症状,鼻中隔穿孔,疾病,鼻衄,症状
临床症状,鼻中隔穿孔,疾病,鼻塞,症状
临床症状,鼻中隔穿孔,疾病,鼻出血,症状
治疗操作,鼻中隔穿孔,疾病,药物治疗,操作
治疗操作,鼻中隔穿孔,疾病,康复治疗,操作
相关人群,鼻中隔穿孔,疾病,无特发人群,人群
治疗药物,鼻中隔穿孔,疾病,生三七散,药品
治疗药物,鼻中隔穿孔,疾病,三七片,药品
诊断检查,鼻中隔穿孔,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻中隔穿孔,疾病,鼻部功能检查,观测操作
诊断检查,鼻中隔穿孔,疾病,前鼻镜检查,观测操作
推荐饮食,鼻中隔穿孔,疾病,鸡蛋,饮食
推荐饮食,鼻中隔穿孔,疾病,鸭翅,饮食
推荐饮食,鼻中隔穿孔,疾病,栗子（鲜）,饮食
推荐饮食,鼻中隔穿孔,疾病,葵花子仁,饮食
禁忌饮食,鼻中隔穿孔,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻中隔穿孔,疾病,花生,饮食
禁忌饮食,鼻中隔穿孔,疾病,赤小豆,饮食
禁忌饮食,鼻中隔穿孔,疾病,白扁豆,饮食
推荐饮食,鼻中隔穿孔,疾病,云腿鸽子汤,饮食
推荐饮食,鼻中隔穿孔,疾病,乌鱼木瓜汤,饮食
推荐饮食,鼻中隔穿孔,疾病,酸辣乌鱼蛋汤,饮食
推荐饮食,鼻中隔穿孔,疾病,黄瓜猪肉水饺,饮食
推荐饮食,鼻中隔穿孔,疾病,芹菜猪肉蒸饺,饮食
治疗药物,鼻中隔穿孔,疾病,三七胶囊,药品
治疗药物,鼻中隔穿孔,疾病,伤科接骨片,药品
临床症状,鼻血管瘤,疾病,骨质破坏,症状
临床症状,鼻血管瘤,疾病,囊肿,症状
临床症状,鼻血管瘤,疾病,继发感染,症状
临床症状,鼻血管瘤,疾病,复视,症状
临床症状,鼻血管瘤,疾病,鼻衂,症状
临床症状,鼻血管瘤,疾病,鼻出血,症状
治疗操作,鼻血管瘤,疾病,药物治疗,操作
治疗操作,鼻血管瘤,疾病,手术治疗,操作
相关人群,鼻血管瘤,疾病,无特定的人群,人群
治疗药物,鼻血管瘤,疾病,注射用盐酸平阳霉素,药品
治疗药物,鼻血管瘤,疾病,鱼肝油酸钠注射液,药品
诊断检查,鼻血管瘤,疾病,视力,观测操作
诊断检查,鼻血管瘤,疾病,头颅平片,观测操作
诊断检查,鼻血管瘤,疾病,感染免疫检测,观测操作
诊断检查,鼻血管瘤,疾病,鼻咽部MRI检查,观测操作
推荐饮食,鼻血管瘤,疾病,南瓜子仁,饮食
推荐饮食,鼻血管瘤,疾病,莲子,饮食
推荐饮食,鼻血管瘤,疾病,葵花子仁,饮食
推荐饮食,鼻血管瘤,疾病,白果（干）,饮食
禁忌饮食,鼻血管瘤,疾病,干腌菜,饮食
禁忌饮食,鼻血管瘤,疾病,啤酒,饮食
禁忌饮食,鼻血管瘤,疾病,白酒,饮食
禁忌饮食,鼻血管瘤,疾病,鸡肉,饮食
推荐饮食,鼻血管瘤,疾病,胡萝卜苹果汁,饮食
推荐饮食,鼻血管瘤,疾病,苹果炖鱼,饮食
推荐饮食,鼻血管瘤,疾病,干贝鸡肉粥,饮食
推荐饮食,鼻血管瘤,疾病,白菜蛋花粥,饮食
推荐饮食,鼻血管瘤,疾病,白菜粥,饮食
推荐饮食,鼻血管瘤,疾病,红扁豆粥,饮食
临床症状,鼻咽癌,疾病,骨质破坏,症状
临床症状,鼻咽癌,疾病,耳内闭塞感,症状
临床症状,鼻咽癌,疾病,耳鸣,症状
临床症状,鼻咽癌,疾病,鼻和喉部灼热感,症状
临床症状,鼻咽癌,疾病,鼻塞,症状
临床症状,鼻咽癌,疾病,回吸性涕血,症状
临床症状,鼻咽癌,疾病,鼻咽腔狭窄,症状
临床症状,鼻咽癌,疾病,鼻咽癌的远处转移,症状
临床症状,鼻咽癌,疾病,鼻出血,症状
治疗操作,鼻咽癌,疾病,药物治疗,操作
治疗操作,鼻咽癌,疾病,支持性治疗,操作
相关人群,鼻咽癌,疾病,好发于中年男女,人群
治疗药物,鼻咽癌,疾病,转移因子口服溶液,药品
治疗药物,鼻咽癌,疾病,消癌平片,药品
诊断检查,鼻咽癌,疾病,局部显像,观测操作
诊断检查,鼻咽癌,疾病,鼻咽部MRI检查,观测操作
诊断检查,鼻咽癌,疾病,纤维鼻咽镜,观测操作
诊断检查,鼻咽癌,疾病,全身显像,观测操作
诊断检查,鼻咽癌,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,鼻咽癌,疾病,颅底片,观测操作
推荐饮食,鼻咽癌,疾病,鸡肉,饮食
推荐饮食,鼻咽癌,疾病,芝麻,饮食
推荐饮食,鼻咽癌,疾病,腰果,饮食
推荐饮食,鼻咽癌,疾病,杏仁,饮食
禁忌饮食,鼻咽癌,疾病,啤酒,饮食
禁忌饮食,鼻咽癌,疾病,白酒,饮食
禁忌饮食,鼻咽癌,疾病,鸭血(白鸭),饮食
禁忌饮食,鼻咽癌,疾病,烤鸭,饮食
推荐饮食,鼻咽癌,疾病,山药桂圆粥,饮食
推荐饮食,鼻咽癌,疾病,山药芡实瘦肉粥,饮食
推荐饮食,鼻咽癌,疾病,无花果粥,饮食
推荐饮食,鼻咽癌,疾病,无花果煲猪肉,饮食
推荐饮食,鼻咽癌,疾病,粉蒸鲫鱼,饮食
推荐饮食,鼻咽癌,疾病,白汤鲫鱼,饮食
推荐饮食,鼻咽癌,疾病,鲫鱼粥,饮食
推荐饮食,鼻咽癌,疾病,芝麻凉团,饮食
治疗药物,鼻咽癌,疾病,天芝草胶囊,药品
治疗药物,鼻咽癌,疾病,甘露聚糖肽片,药品
治疗药物,鼻咽癌,疾病,注射用盐酸平阳霉素,药品
治疗药物,鼻咽癌,疾病,鼻咽灵片,药品
临床症状,鼻咽肉瘤,疾病,兰瑞,症状
临床症状,鼻咽肉瘤,疾病,骨质破坏,症状
临床症状,鼻咽肉瘤,疾病,咽鼓管堵塞,症状
临床症状,鼻咽肉瘤,疾病,鼻塞,症状
临床症状,鼻咽肉瘤,疾病,鼻咽癌的远处转移,症状
治疗操作,鼻咽肉瘤,疾病,手术治疗,操作
治疗操作,鼻咽肉瘤,疾病,放射治疗,操作
治疗操作,鼻咽肉瘤,疾病,全身化疗,操作
治疗操作,鼻咽肉瘤,疾病,支持治疗,操作
相关人群,鼻咽肉瘤,疾病,头颈部放疗史的患者,人群
治疗药物,鼻咽肉瘤,疾病,转移因子口服溶液,药品
治疗药物,鼻咽肉瘤,疾病,消癌平片,药品
诊断检查,鼻咽肉瘤,疾病,纤维鼻咽镜,观测操作
诊断检查,鼻咽肉瘤,疾病,鼻咽部MRI检查,观测操作
诊断检查,鼻咽肉瘤,疾病,颅底片,观测操作
诊断检查,鼻咽肉瘤,疾病,耳鼻咽喉CT检查,观测操作
推荐饮食,鼻咽肉瘤,疾病,薇菜,饮食
推荐饮食,鼻咽肉瘤,疾病,芝麻,饮食
推荐饮食,鼻咽肉瘤,疾病,腰果,饮食
推荐饮食,鼻咽肉瘤,疾病,杏仁,饮食
禁忌饮食,鼻咽肉瘤,疾病,干腌菜,饮食
